ID,Food Name,Kcal,Protein,Carbohydrate,Fiber,Total Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Trans Fat
321358,"Hummus, commercial",229.0,7.35,14.9,5.4,17.1,2.22,6.37,7.48,0.018
321360,"Tomatoes, grape, raw",27.0,0.83,5.51,2.1,0.63,0.0,0.0,0.0,0.0
321611,"Beans, snap, green, canned, regular pack, drained solids",21.0,1.04,4.11,0.0,0.39,0.0,0.0,0.0,0.0
323121,"Frankfurter, beef, unheated",314.0,11.7,2.89,0.0,28.0,11.4,12.1,0.954,1.59
323294,"Nuts, almonds, dry roasted, with salt added",620.0,20.4,16.2,11.0,57.8,4.56,34.2,14.5,0.032
323505,"Kale, raw",35.0,2.92,4.42,4.1,1.49,0.0,0.0,0.0,0.0
323604,"Egg, whole, raw, frozen, pasteurized",150.0,12.3,0.91,0.0,10.3,0.0,0.0,0.0,0.0
323697,"Egg, white, raw, frozen, pasteurized",48.0,10.1,0.74,0.0,0.16,0.0,0.0,0.0,0.0
323793,"Egg, white, dried",376.0,79.9,6.02,0.0,0.65,0.0,0.0,0.0,0.0
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",288.0,4.52,36.3,2.4,14.4,2.15,2.87,7.58,0.041
324653,"Pickles, cucumber, dill or kosher dill",12.0,0.48,1.99,1.0,0.43,0.0,0.0,0.0,0.0
325036,"Cheese, parmesan, grated",421.0,29.6,12.4,0.0,28.0,15.5,6.4,1.2,0.896
325198,"Cheese, pasteurized process, American, vitamin D fortified",366.0,18.0,5.27,0.0,30.6,18.1,7.3,1.09,1.15
325287,"Grapefruit juice, white, canned or bottled, unsweetened",37.0,0.55,7.59,0.2,0.7,0.0,0.0,0.0,0.0
325430,"Peaches, yellow, raw",42.0,0.91,10.1,1.5,0.27,0.0,0.0,0.0,0.0
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",612.0,21.0,17.1,10.3,56.1,5.36,33.4,13.0,0.297
325871,"Bread, white, commercially prepared",270.0,9.43,49.2,2.3,3.59,0.821,0.717,1.87,0.035
326196,"Kale, frozen, cooked, boiled, drained, without salt",36.0,2.94,5.3,0.0,1.21,0.0,0.0,0.0,0.0
326698,"Mustard, prepared, yellow",61.0,4.25,5.3,4.3,3.38,0.252,2.59,0.903,0.01
327046,"Kiwifruit, green, raw",58.0,1.06,14.0,3.0,0.44,0.0,0.0,0.0,0.0
327357,"Nectarines, raw",39.0,1.06,9.18,1.5,0.28,0.0,0.0,0.0,0.0
328637,"Cheese, cheddar",408.0,23.3,2.44,0.0,34.0,19.2,7.44,1.18,1.14
